Model,Reward,Std,Rebuffer(s),Bitrate(kbps)
No VMAF,107.17740485668182,18.580813979878332,1.0449999999999997,1142.829861111111
Network Only,104.92906212309997,19.809677382587598,1.5199999999999982,1164.079861111111
No SI/TI,104.47586826284727,22.485754758929634,1.4083333333333328,1084.6354166666667
