video,Ours_reward,Ours_rebuffer,Ours_bitrate
animation,93.24399038553238,1.01,1036.3541666666667
game,108.92449625730515,1.6099999999999988,1237.9166666666667
movie,105.21296727657318,1.0,1114.2708333333333
nature,104.26049692630768,1.799999999999999,1034.8958333333335
news,96.26888449192047,1.9099999999999988,1033.3333333333335
sports,107.26768008470535,1.08,1150.1041666666665
