video,chunk,bitrate_kbps,vmaf
bigbuckbunny,25,300,66.472
bigbuckbunny,25,750,79.4306
bigbuckbunny,25,1200,86.4971
bigbuckbunny,25,1850,94.9221
bigbuckbunny,25,2850,96.9383
bigbuckbunny,25,6000,94.6188
bigbuckbunny,26,300,77.6489
bigbuckbunny,26,750,90.1575
bigbuckbunny,26,1200,94.1879
bigbuckbunny,26,1850,97.2057
bigbuckbunny,26,2850,98.7613
bigbuckbunny,26,6000,98.874
bigbuckbunny,27,300,75.3028
bigbuckbunny,27,750,88.8908
bigbuckbunny,27,1200,93.5984
bigbuckbunny,27,1850,97.4121
bigbuckbunny,27,2850,98.561
bigbuckbunny,27,6000,98.6327
bigbuckbunny,28,300,65.0067
bigbuckbunny,28,750,82.4128
bigbuckbunny,28,1200,90.4023
bigbuckbunny,28,1850,98.081
bigbuckbunny,28,2850,98.7892
bigbuckbunny,28,6000,97.5916
bigbuckbunny,29,300,63.4093
bigbuckbunny,29,750,82.5805
bigbuckbunny,29,1200,90.8752
bigbuckbunny,29,1850,97.7545
bigbuckbunny,29,2850,98.8719
bigbuckbunny,29,6000,98.2691
bigbuckbunny,30,300,67.0062
bigbuckbunny,30,750,85.5401
bigbuckbunny,30,1200,91.7622
bigbuckbunny,30,1850,96.3445
bigbuckbunny,30,2850,97.9731
bigbuckbunny,30,6000,98.2511
bigbuckbunny,31,300,68.379
bigbuckbunny,31,750,84.7149
bigbuckbunny,31,1200,90.7282
bigbuckbunny,31,1850,95.6423
bigbuckbunny,31,2850,97.0431
bigbuckbunny,31,6000,96.9359
bigbuckbunny,32,300,71.8945
bigbuckbunny,32,750,86.2777
bigbuckbunny,32,1200,91.4506
bigbuckbunny,32,1850,95.5966
bigbuckbunny,32,2850,96.8019
bigbuckbunny,32,6000,96.7342
bigbuckbunny,33,300,71.6542
bigbuckbunny,33,750,86.3384
bigbuckbunny,33,1200,91.6143
bigbuckbunny,33,1850,95.7692
bigbuckbunny,33,2850,96.9552
bigbuckbunny,33,6000,97.0503
bigbuckbunny,34,300,70.9855
bigbuckbunny,34,750,86.0941
bigbuckbunny,34,1200,91.6856
bigbuckbunny,34,1850,95.8674
bigbuckbunny,34,2850,97.141
bigbuckbunny,34,6000,97.2178
bigbuckbunny,35,300,73.1445
bigbuckbunny,35,750,88.2747
bigbuckbunny,35,1200,93.7654
bigbuckbunny,35,1850,97.167
bigbuckbunny,35,2850,98.1128
bigbuckbunny,35,6000,98.3385
bigbuckbunny,36,300,66.6082
bigbuckbunny,36,750,83.1497
bigbuckbunny,36,1200,88.914
