video,chunk,bitrate_kbps,vmaf
bigbuckbunny,24,6000,97.1076
bigbuckbunny,25,300,48.9305
bigbuckbunny,25,750,69.6897
bigbuckbunny,25,1200,82.9966
bigbuckbunny,25,1850,88.9523
bigbuckbunny,25,2850,92.629
bigbuckbunny,25,6000,97.6166
bigbuckbunny,26,300,48.8655
bigbuckbunny,26,750,68.855
bigbuckbunny,26,1200,82.0361
bigbuckbunny,26,1850,88.1666
bigbuckbunny,26,2850,91.8375
bigbuckbunny,26,6000,97.183
bigbuckbunny,27,300,59.6463
bigbuckbunny,27,750,76.5216
bigbuckbunny,27,1200,86.1102
bigbuckbunny,27,1850,90.6027
bigbuckbunny,27,2850,93.368
bigbuckbunny,27,6000,97.5026
bigbuckbunny,28,300,63.4553
bigbuckbunny,28,750,79.0727
bigbuckbunny,28,1200,88.5416
bigbuckbunny,28,1850,92.8871
bigbuckbunny,28,2850,95.3949
bigbuckbunny,28,6000,98.6431
bigbuckbunny,29,300,46.8537
bigbuckbunny,29,750,68.2847
bigbuckbunny,29,1200,82.472
bigbuckbunny,29,1850,89.2162
bigbuckbunny,29,2850,93.4129
bigbuckbunny,29,6000,98.9712
bigbuckbunny,30,300,44.2887
bigbuckbunny,30,750,69.1793
bigbuckbunny,30,1200,83.059
bigbuckbunny,30,1850,90.069
bigbuckbunny,30,2850,94.2466
bigbuckbunny,30,6000,99.4342
bigbuckbunny,31,300,42.7564
bigbuckbunny,31,750,68.9004
bigbuckbunny,31,1200,84.6846
bigbuckbunny,31,1850,91.8895
bigbuckbunny,31,2850,95.7681
bigbuckbunny,31,6000,99.0654
bigbuckbunny,32,300,41.4613
bigbuckbunny,32,750,63.7329
bigbuckbunny,32,1200,80.2691
bigbuckbunny,32,1850,87.9142
bigbuckbunny,32,2850,92.1059
bigbuckbunny,32,6000,97.1371
bigbuckbunny,33,300,45.9527
bigbuckbunny,33,750,70.958
bigbuckbunny,33,1200,85.392
bigbuckbunny,33,1850,91.8334
bigbuckbunny,33,2850,95.3322
bigbuckbunny,33,6000,99.001
bigbuckbunny,34,300,56.103
bigbuckbunny,34,750,76.8076
bigbuckbunny,34,1200,87.348
bigbuckbunny,34,1850,91.773
bigbuckbunny,34,2850,94.4058
bigbuckbunny,34,6000,97.3583
bigbuckbunny,35,300,50.8424
bigbuckbunny,35,750,71.8086
bigbuckbunny,35,1200,85.5272
bigbuckbunny,35,1850,91.1069
bigbuckbunny,35,2850,94.2629
bigbuckbunny,35,6000,97.3964
bigbuckbunny,36,300,52.7394
bigbuckbunny,36,750,73.1924
bigbuckbunny,36,1200,85.9882
bigbuckbunny,36,1850,91.3989
bigbuckbunny,36,2850,94.275
bigbuckbunny,36,6000,97.6213
bigbuckbunny,37,300,51.7409
bigbuckbunny,37,750,77.5453
bigbuckbunny,37,1200,89.6326
bigbuckbunny,37,1850,95.3774
bigbuckbunny,37,2850,98.2097
bigbuckbunny,37,6000,99.5948
bigbuckbunny,38,300,47.7944
bigbuckbunny,38,750,75.1414
bigbuckbunny,38,1200,87.0539
bigbuckbunny,38,1850,92.6808
bigbuckbunny,38,2850,96.2649
bigbuckbunny,38,6000,98.5213
bigbuckbunny,39,300,46.6521
bigbuckbunny,39,750,70.1796
bigbuckbunny,39,1200,84.0172
bigbuckbunny,39,1850,90.2661
bigbuckbunny,39,2850,93.8444
bigbuckbunny,39,6000,97.6927
bigbuckbunny,40,300,44.0369
bigbuckbunny,40,750,64.4162
bigbuckbunny,40,1200,79.8962
bigbuckbunny,40,1850,87.2387
bigbuckbunny,40,2850,91.2914
bigbuckbunny,40,6000,96.6013
bigbuckbunny,41,300,40.2438
bigbuckbunny,41,750,62.7747
bigbuckbunny,41,1200,79.1383
bigbuckbunny,41,1850,87.0427
bigbuckbunny,41,2850,91.434
bigbuckbunny,41,6000,98.0258
bigbuckbunny,42,300,43.8461
bigbuckbunny,42,750,64.5451
bigbuckbunny,42,1200,79.9555
bigbuckbunny,42,1850,87.0158
bigbuckbunny,42,2850,90.9351
bigbuckbunny,42,6000,96.6836
bigbuckbunny,43,300,51.5589
bigbuckbunny,43,750,72.1341
bigbuckbunny,43,1200,85.1986
bigbuckbunny,43,1850,90.7353
bigbuckbunny,43,2850,93.6641
bigbuckbunny,43,6000,97.0809
bigbuckbunny,44,300,55.1927
bigbuckbunny,44,750,73.8296
bigbuckbunny,44,1200,86.2118
bigbuckbunny,44,1850,91.1066
bigbuckbunny,44,2850,93.6641
bigbuckbunny,44,6000,96.5942
bigbuckbunny,45,300,39.6595
bigbuckbunny,45,750,62.3975
bigbuckbunny,45,1200,80.0416
bigbuckbunny,45,1850,87.9063
bigbuckbunny,45,2850,92.4014
bigbuckbunny,45,6000,97.4952
bigbuckbunny,46,300,42.7566
bigbuckbunny,46,750,69.2641
bigbuckbunny,46,1200,84.6001
bigbuckbunny,46,1850,90.9823
bigbuckbunny,46,2850,94.634
bigbuckbunny,46,6000,98.4302
bigbuckbunny,47,300,48.7358
bigbuckbunny,47,750,72.6801
bigbuckbunny,47,1200,85.4585
bigbuckbunny,47,1850,90.6988
bigbuckbunny,47,2850,93.5599
bigbuckbunny,47,6000,97.3742
crowd_run,0,300,1.4329
crowd_run,0,750,12.9379
crowd_run,0,1200,23.944
crowd_run,0,1850,33.7745
crowd_run,0,2850,44.1467
crowd_run,0,6000,61.3823
crowd_run,1,300,3.3039
crowd_run,1,750,14.6537
crowd_run,1,1200,25.7064
crowd_run,1,1850,35.7941
crowd_run,1,2850,46.0553
crowd_run,1,6000,63.7129
crowd_run,2,300,5.2934
crowd_run,2,750,17.1339
crowd_run,2,1200,28.4817
crowd_run,2,1850,38.9998
crowd_run,2,2850,50.0262
crowd_run,2,6000,67.987
sintel,0,300,69.814
sintel,0,750,80.9968
sintel,0,1200,86.2611
sintel,0,1850,90.9888
sintel,0,2850,93.1753
sintel,0,6000,97.9695
sintel,1,300,39.6978
sintel,1,750,60.6714
sintel,1,1200,71.5269
sintel,1,1850,82.9116
sintel,1,2850,86.9238
sintel,1,6000,98.9037
sintel,2,300,47.1073
sintel,2,750,63.0775
sintel,2,1200,78.3033
sintel,2,1850,86.7085
sintel,2,2850,90.828
sintel,2,6000,97.7707
sintel,3,300,48.0801
sintel,3,750,62.5757
sintel,3,1200,75.5637
sintel,3,1850,83.1956
sintel,3,2850,87.9917
sintel,3,6000,96.4457
sintel,4,300,62.2782
sintel,4,750,76.3621
sintel,4,1200,85.7039
sintel,4,1850,91.4729
sintel,4,2850,94.1821
sintel,4,6000,97.5562
sintel,5,300,50.0804
sintel,5,750,69.5582
sintel,5,1200,82.1776
sintel,5,1850,89.8083
sintel,5,2850,93.5539
sintel,5,6000,98.1345
sintel,6,300,37.6331
sintel,6,750,63.8471
sintel,6,1200,77.4752
sintel,6,1850,89.4499
sintel,6,2850,93.6345
sintel,6,6000,99.763
sintel,7,300,50.2843
sintel,7,750,73.4838
sintel,7,1200,84.4128
sintel,7,1850,93.4229
sintel,7,2850,96.2616
sintel,7,6000,99.7989
sintel,8,300,40.0046
sintel,8,750,62.4827
sintel,8,1200,75.6303
sintel,8,1850,85.4104
sintel,8,2850,89.6232
sintel,8,6000,97.9904
sintel,9,300,41.8978
sintel,9,750,62.6167
sintel,9,1200,72.946
sintel,9,1850,83.3617
sintel,9,2850,87.6207
sintel,9,6000,98.3067
sintel,10,300,38.789
sintel,10,750,59.738
sintel,10,1200,78.5733
sintel,10,1850,87.3397
sintel,10,2850,91.698
sintel,10,6000,98.0129
sintel,11,300,45.2657
sintel,11,750,64.239
sintel,11,1200,81.9821
sintel,11,1850,89.5628
sintel,11,2850,93.0935
sintel,11,6000,97.2324
sintel,12,300,41.5343
sintel,12,750,62.397
sintel,12,1200,83.1673
sintel,12,1850,91.0363
sintel,12,2850,94.4247
sintel,12,6000,97.4241
sintel,13,300,97.428
sintel,13,750,97.428
sintel,13,1200,97.428
sintel,13,1850,97.428
sintel,13,2850,97.428
sintel,13,6000,97.428
tearsofsteel_short,0,300,43.8701
tearsofsteel_short,0,750,69.9003
tearsofsteel_short,0,1200,83.9379
tearsofsteel_short,0,1850,90.6444
tearsofsteel_short,0,2850,94.3434
tearsofsteel_short,0,6000,98.4451
tearsofsteel_short,1,300,48.8654
tearsofsteel_short,1,750,74.9557
tearsofsteel_short,1,1200,87.6844
tearsofsteel_short,1,1850,93.4819
tearsofsteel_short,1,2850,96.7007
tearsofsteel_short,1,6000,99.6289
tearsofsteel_short,2,300,48.6182
tearsofsteel_short,2,750,72.6212
tearsofsteel_short,2,1200,86.1301
tearsofsteel_short,2,1850,91.616
tearsofsteel_short,2,2850,94.4146
tearsofsteel_short,2,6000,97.4706
tearsofsteel_short,3,300,47.4649
tearsofsteel_short,3,750,68.8172
tearsofsteel_short,3,1200,83.6945
tearsofsteel_short,3,1850,89.6683
tearsofsteel_short,3,2850,92.7645
tearsofsteel_short,3,6000,95.8262
tearsofsteel_short,4,300,39.6658
tearsofsteel_short,4,750,61.8346
tearsofsteel_short,4,1200,80.3207
tearsofsteel_short,4,1850,88.2001
tearsofsteel_short,4,2850,92.239
tearsofsteel_short,4,6000,96.2351
tearsofsteel_short,5,300,48.1874
tearsofsteel_short,5,750,68.8422
tearsofsteel_short,5,1200,83.5858
tearsofsteel_short,5,1850,90.0637
tearsofsteel_short,5,2850,93.3774
tearsofsteel_short,5,6000,97.0995
tearsofsteel_short,6,300,53.704
tearsofsteel_short,6,750,73.8809
tearsofsteel_short,6,1200,87.0789
tearsofsteel_short,6,1850,92.3551
tearsofsteel_short,6,2850,95.0463
tearsofsteel_short,6,6000,97.7382
