step,mean_action,action_distribution,action_variance,action_entropy
40000,2.50,0.250;0.125;0.000;0.375;0.000;0.250,3.50,1.321
80000,1.50,0.375;0.250;0.125;0.125;0.000;0.125,2.75,1.494
120000,2.38,0.250;0.125;0.000;0.375;0.125;0.125,2.98,1.494
160000,1.62,0.250;0.375;0.125;0.125;0.000;0.125,2.48,1.494
200000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
240000,2.25,0.125;0.375;0.000;0.250;0.125;0.125,2.69,1.494
280000,1.38,0.250;0.500;0.000;0.125;0.125;0.000,1.73,1.213
320000,1.38,0.250;0.125;0.625;0.000;0.000;0.000,0.73,0.900
360000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
400000,1.12,0.375;0.125;0.500;0.000;0.000;0.000,0.86,0.974
440000,1.38,0.250;0.250;0.375;0.125;0.000;0.000,0.98,1.321
480000,2.50,0.000;0.000;0.625;0.250;0.125;0.000,0.50,0.900
520000,1.75,0.250;0.125;0.375;0.125;0.125;0.000,1.69,1.494
560000,1.88,0.250;0.250;0.125;0.125;0.250;0.000,2.36,1.560
600000,2.00,0.000;0.375;0.375;0.125;0.125;0.000,1.00,1.255
640000,2.38,0.125;0.000;0.500;0.125;0.250;0.000,1.48,1.213
680000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
720000,2.00,0.125;0.125;0.375;0.375;0.000;0.000,1.00,1.255
760000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
800000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
840000,1.50,0.125;0.500;0.125;0.250;0.000;0.000,1.00,1.213
880000,1.62,0.375;0.125;0.125;0.250;0.125;0.000,2.23,1.494
920000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
960000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
1000000,0.62,0.750;0.125;0.000;0.000;0.125;0.000,1.73,0.736
